Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
OECD members,OED,Urban population,SP.URB.TOTL,1077284322,1084602569,1092468691,1100193212,1105555640,1109167654,1115942730,1124950277,1134068706,1138068124
OECD members,OED,"Population, female",SP.POP.TOTL.FE.IN,678391504,682225722,686257996,689967716,692575876,693971740,697524928,702311239,706856301,708140389
OECD members,OED,"Population, male",SP.POP.TOTL.MA.IN,661750551,665901536,670212979,674178503,676734319,677813333,681040749,685586467,690021147,691286721
OECD members,OED,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.73733425,11.42434076,11.18661441,10.90918567,10.5233204,10.50610751,10.21143062,9.810798612,..,9.786805281
OECD members,OED,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.364062535,8.53112019,8.57131304,8.558185188,9.676788792,9.936569762,9.544506463,9.068363797,..,9.092954707
Oman,OMN,Rural population (% of total population),SP.RUR.TOTL.ZS,22.24786377,21.685774,21.03441603,20.42199825,19.98236211,19.87600579,19.98829468,20.42970268,20.55596972,20.52186167
Oman,OMN,Urban population,SP.URB.TOTL,3414001,3553427,3630740,3653618,3618795,3605919,3784734,4017718,4195867,4367078
Oman,OMN,"Population, female",SP.POP.TOTL.FE.IN,1528405,1574349,1619100,1668759,1713756,1749460,1818526,1914778,1995709,2065724
Oman,OMN,"Population, male",SP.POP.TOTL.MA.IN,2862472,2963047,2978777,2922482,2808741,2750964,2911700,3134491,3285829,3428967
Oman,OMN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,20.544,20.155,19.269,18.858,18.856,18.337,16.353,16.847,..,16.403
Oman,OMN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.017,1.993,1.992,2.001,2.444,2.785,2.13,1.901,..,1.881
Other small states,OSS,Rural population (% of total population),SP.RUR.TOTL.ZS,46.74396975,46.55587456,46.34808593,46.12726713,45.94007084,45.78002821,45.56326249,45.25866153,45.03844558,44.86844353
Other small states,OSS,Urban population,SP.URB.TOTL,6311861,6407613,6510801,6616602,6712801,6800208,6912923,7019008,7107559,7169922
Other small states,OSS,"Population, female",SP.POP.TOTL.FE.IN,5882578,5942654,6006408,6070179,6130705,6189262,6266438,6329699,6385376,6421843
Other small states,OSS,"Population, male",SP.POP.TOTL.MA.IN,5969340,6046713,6128859,6211728,6286628,6352627,6432567,6492435,6546502,6583271
