Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Middle income,MIC,"Population, male",SP.POP.TOTL.MA.IN,2791211372,2822596559,2852993013,2882098123,2909069655,2932861565,2954217767,2975602156,2998535104,3021241961
Middle income,MIC,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,19.45789328,18.81324793,18.10179975,17.63735948,16.82431539,16.39620969,16.07824656,15.84385197,..,15.52653819
Middle income,MIC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.027974828,6.996969997,6.988967539,6.982774404,7.474757378,8.311743303,7.093327989,7.134682311,..,7.262019348
Moldova,MDA,Rural population (% of total population),SP.RUR.TOTL.ZS,60.26267624,60.0263443,59.67419052,59.22771072,58.66314697,58.18845749,57.59511566,56.99881744,56.48352814,56.26637596
Moldova,MDA,Urban population,SP.URB.TOTL,1113911,1101350,1091702,1086265,1089280,1085348,1072273,1056876,1045399,1034349
Moldova,MDA,"Population, female",SP.POP.TOTL.FE.IN,1503935,1479894,1455601,1433899,1419764,1399856,1364474,1326593,1296968,1277430
Moldova,MDA,"Population, male",SP.POP.TOTL.MA.IN,1299251,1275295,1251602,1230325,1215366,1195953,1164180,1131190,1105338,1087681
Moldova,MDA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.88,13.762,13.275,12.637,12.077,11.521,10.545,10.755,..,10.35
Moldova,MDA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.246,13.253,13.63,13.919,14.759,16.7,13.07,13.606,..,14.031
Monaco,MCO,Rural population (% of total population),SP.RUR.TOTL.ZS,0,0,0,0,0,0,0,0,0,0
Monaco,MCO,Urban population,SP.URB.TOTL,37276,37678,38154,38109,38050,38527,38931,38956,38631,38341
Monaco,MCO,"Population, female",SP.POP.TOTL.FE.IN,19012,19222,19459,19448,19426,19652,19859,19887,19731,19590
Monaco,MCO,"Population, male",SP.POP.TOTL.MA.IN,18264,18456,18695,18661,18624,18875,19072,19069,18900,18751
Monaco,MCO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.757,10.001,10.194,9.965,9.746,8.689,8.687,9.441,..,9.622
Monaco,MCO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,20.841,21.068,21.274,22.362,21.439,24.387,23.496,20.971,..,19.418
Mongolia,MNG,Rural population (% of total population),SP.RUR.TOTL.ZS,32.02232452,32.07394168,32.13165552,32.17227004,31.91052282,30.7846756,30.21619415,29.55355072,29.043396,28.85492809
Mongolia,MNG,Urban population,SP.URB.TOTL,2099733,2138935,2177345,2216388,2265476,2342067,2396200,2452343,2501070,2537545
Mongolia,MNG,"Population, female",SP.POP.TOTL.FE.IN,1555206,1582417,1608630,1634513,1663059,1692787,1719168,1744331,1767423,1789443
Mongolia,MNG,"Population, male",SP.POP.TOTL.MA.IN,1533650,1566500,1599559,1633160,1664145,1690954,1714580,1736814,1757365,1777276
Mongolia,MNG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.9,23.9,24.5,24.4,23.4,21.6,19.5,19,..,17.466
Mongolia,MNG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.8,5.5,5.6,5.6,5.1,6.2,5.6,5.5,..,5.953
Montenegro,MNE,Rural population (% of total population),SP.RUR.TOTL.ZS,35.08983077,35.00075613,34.91459311,34.83132401,34.75093116,34.67339687,34.59870346,34.52683324,34.45776853,34.39149165
Montenegro,MNE,Urban population,SP.URB.TOTL,405918,406884,407720,408447,408844,408326,407837,408244,408672,402817
Montenegro,MNE,"Population, female",SP.POP.TOTL.FE.IN,324047,324382,324634,324836,324903,324278,323564,323484,323422,318359
Montenegro,MNE,"Population, male",SP.POP.TOTL.MA.IN,301306,301600,301804,301917,301687,300775,300027,300045,300103,295611
Montenegro,MNE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.1,11.9,11.6,11.5,11.3,11.3,11.3,11.2,..,11.014
Montenegro,MNE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.3,10.4,10.4,10.5,11.6,14.6,11.3,10.1,..,11.507
Morocco,MAR,Rural population (% of total population),SP.RUR.TOTL.ZS,39.03423435,38.7238943,38.43041772,38.15695498,37.9066564,37.68267234,37.48815314,37.32624916,37.2001876,36.87213877
Morocco,MAR,Urban population,SP.URB.TOTL,21352319,21720169,22066391,22393922,22716358,23029021,23335087,23635841,23914905,24260523
Morocco,MAR,"Population, female",SP.POP.TOTL.FE.IN,17351000,17558322,17748489,17926376,18112440,18301045,18491547,18689276,18879151,19058691
Morocco,MAR,"Population, male",SP.POP.TOTL.MA.IN,17672457,17888070,18091271,18284522,18471768,18653397,18837517,19023229,19202022,19372079
Morocco,MAR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,19.224,18.918,18.573,18.258,17.85,17.458,17.035,16.701,..,16.108
Morocco,MAR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.672,5.63,5.616,5.629,6.479,6.422,5.572,5.638,..,5.813
Mozambique,MOZ,Rural population (% of total population),SP.RUR.TOTL.ZS,67.61807656,67.37255885,67.00974409,66.58227585,66.09559936,65.55007406,64.9463362,64.28502169,63.56676626,62.79220551
Mozambique,MOZ,Urban population,SP.URB.TOTL,8852280,9189973,9573325,9986680,10437025,10923314,11447211,12012790,12617472,13257752
Mozambique,MOZ,"Population, female",SP.POP.TOTL.FE.IN,14144776,14562669,14992896,15432082,15887255,16353471,16832437,17327861,17829684,18330893
Mozambique,MOZ,"Population, male",SP.POP.TOTL.MA.IN,13192329,13603724,14025748,14452298,14896433,15354329,15823809,16307299,16802082,17300760
Mozambique,MOZ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,40.093,39.755,39.448,39.117,38.736,38.403,37.99,37.486,..,36.608
Mozambique,MOZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.984,8.633,8.324,8.078,8.007,8.403,7.255,7.002,..,6.826
Myanmar,MMR,Rural population (% of total population),SP.RUR.TOTL.ZS,70.18708344,70.09482723,70.00642595,69.92175631,69.840695,69.76311875,69.68890424,69.61792819,69.55009159,69.41630845
Myanmar,MMR,Urban population,SP.URB.TOTL,15352369,15519271,15678315,15833402,15989415,16142595,16294271,16446969,16595228,16775353
Myanmar,MMR,"Population, female",SP.POP.TOTL.FE.IN,25798842,26004364,26198925,26389410,26585323,26780850,26977460,27177563,27371250,27557101
Myanmar,MMR,"Population, male",SP.POP.TOTL.MA.IN,25696854,25890574,26073322,26251303,26431199,26606252,26779327,26956235,27128841,27293547
Myanmar,MMR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.561,18.341,18.054,17.774,17.456,17.201,16.912,16.696,..,16.195
Myanmar,MMR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.861,8.855,8.827,8.847,8.994,9.819,9.18,9.153,..,9.239
Namibia,NAM,Rural population (% of total population),SP.RUR.TOTL.ZS,53.82482744,53.18642003,52.57671856,51.99801923,51.45261825,50.94281185,50.47089623,50.04541622,49.59119697,49.13330156
Namibia,NAM,Urban population,SP.URB.TOTL,1126311,1173548,1222253,1272290,1324743,1378776,1431224,1480202,1527453,1573213
Namibia,NAM,"Population, female",SP.POP.TOTL.FE.IN,1253796,1287366,1322414,1358966,1398226,1439149,1478744,1515985,1550325,1582457
Namibia,NAM,"Population, male",SP.POP.TOTL.MA.IN,1185417,1219487,1254913,1291528,1330536,1371399,1410918,1447110,1479806,1510359
Namibia,NAM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,30.31,29.652,29.067,28.386,27.687,27.022,26.343,25.89,..,25.442
Namibia,NAM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.898,8.52,8.127,7.722,7.519,9.175,7.471,6.169,..,6.183
Nauru,NRU,Rural population (% of total population),SP.RUR.TOTL.ZS,0,0,0,0,0,0,0,0,0,0
Nauru,NRU,Urban population,SP.URB.TOTL,11150,11324,11477,11587,11643,11709,11801,11875,11947,12025
Nauru,NRU,"Population, female",SP.POP.TOTL.FE.IN,5447,5532,5603,5660,5703,5745,5791,5827,5864,5907
Nauru,NRU,"Population, male",SP.POP.TOTL.MA.IN,5703,5792,5874,5927,5940,5964,6010,6048,6083,6118
Nauru,NRU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,33.578,32.241,30.66,29.581,28.662,27.787,26.613,25.505,..,24.025
Nauru,NRU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.628,7.608,7.578,7.573,7.552,7.661,7.472,7.519,..,7.629
Nepal,NPL,Rural population (% of total population),SP.RUR.TOTL.ZS,34.71048312,34.42310719,34.18957708,34.01260705,33.89491139,33.85576473,33.70070313,33.45670665,33.22765684,33.00057512
Nepal,NPL,Urban population,SP.URB.TOTL,18251986,18368913,18479362,18749700,19148379,19496020,19701125,19759774,19798704,19843969
Nepal,NPL,"Population, female",SP.POP.TOTL.FE.IN,14505809,14581601,14660531,14813382,15024010,15234961,15370175,15415381,15450778,15487908
Nepal,NPL,"Population, male",SP.POP.TOTL.MA.IN,13449653,13429657,13419158,13600682,13942564,14240049,14345261,14279233,14200276,14130210
Nepal,NPL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,21.943,21.572,21.122,20.648,20.168,19.675,19.643,19.34,..,18.625
Nepal,NPL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.065,7.07,7.07,7.024,7.272,7.761,6.888,6.932,..,6.99
Netherlands,NLD,Rural population (% of total population),SP.RUR.TOTL.ZS,9.419676055,8.878029932,7.39375276,6.110197114,5.746772223,5.370521678,5.014382227,4.677831791,4.360348292,4.061409652
Netherlands,NLD,Urban population,SP.URB.TOTL,15426114,15610374,15957560,16285068,16439177,16591428,16813387,17040856,17208906,17360656
Netherlands,NLD,"Population, female",SP.POP.TOTL.FE.IN,8596978,8642657,8689741,8742188,8786981,8830353,8911982,8997851,9054381,9104263
Netherlands,NLD,"Population, male",SP.POP.TOTL.MA.IN,8433336,8488639,8541883,8602686,8654519,8702691,8789000,8879266,8939104,8991329
Netherlands,NLD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.1,9.9,9.8,9.8,9.7,10.2,9.5,9.2,..,9.495
Netherlands,NLD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.7,8.8,8.9,8.8,9.7,9.8,9.6,9.5,..,9.218
New Caledonia,NCL,Rural population (% of total population),SP.RUR.TOTL.ZS,33.10979453,33.03166067,32.94111902,32.84253263,32.72527389,32.58692235,32.4279695,32.24847769,32.04853044,31.82821117
New Caledonia,NCL,Urban population,SP.URB.TOTL,189582,189886,190139,190463,191179,192272,194015,196391,198853,201334
New Caledonia,NCL,"Population, female",SP.POP.TOTL.FE.IN,142266,142624,142917,143249,143754,144458,145532,146908,148286,149630
New Caledonia,NCL,"Population, male",SP.POP.TOTL.MA.IN,141157,140922,140624,140357,140422,140756,141591,142962,144353,145703
New Caledonia,NCL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.672,15.327,15.228,15.183,14.903,14.747,14.498,14.262,..,13.776
New Caledonia,NCL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.813,5.933,6.07,6.278,7.412,6.664,6.8,6.271,..,6.313
New Zealand,NZL,Rural population (% of total population),SP.RUR.TOTL.ZS,15.30863441,15.82989741,16.19821533,16.19503413,16.18610229,16.17006174,16.1452695,16.11010085,16.06293412,16.00214842
New Zealand,NZL,Urban population,SP.URB.TOTL,3992436,4051612,4106790,4165358,4251376,4262417,4261246,4362275,4438172,4471040
New Zealand,NZL,"Population, female",SP.POP.TOTL.FE.IN,2386056,2431027,2470956,2503769,2554404,2560391,2558221,2616994,2660356,2677126
New Zealand,NZL,"Population, male",SP.POP.TOTL.MA.IN,2328044,2382573,2429644,2466531,2517996,2524209,2523479,2583006,2627144,2645677
New Zealand,NZL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.6,12.38,11.84,11.96,11.32,11.48,11.49,10.86,..,11.137
New Zealand,NZL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.61,6.92,6.78,6.87,6.41,6.83,7.53,7.23,..,7.472
Nicaragua,NIC,Rural population (% of total population),SP.RUR.TOTL.ZS,41.99561192,41.81074326,41.63161413,41.45943286,41.29540773,41.14074707,41.00456238,40.87490463,40.73715973,40.5564107
Nicaragua,NIC,Urban population,SP.URB.TOTL,3615220,3675368,3735623,3795570,3854113,3911045,3970779,4034468,4098701,4165511
Nicaragua,NIC,"Population, female",SP.POP.TOTL.FE.IN,3169776,3211621,3253688,3295694,3337270,3378214,3421642,3468026,3514183,3559745
Nicaragua,NIC,"Population, male",SP.POP.TOTL.MA.IN,3062890,3104610,3146392,3187963,3227997,3266527,3309012,3355587,3401957,3447757
Nicaragua,NIC,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,22.06,21.647,21.209,20.808,20.45,20.044,19.695,19.376,..,18.809
Nicaragua,NIC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.959,4.949,4.832,4.95,6.663,6.618,4.691,4.586,..,4.687
Niger,NER,Rural population (% of total population),SP.RUR.TOTL.ZS,83.61017195,83.49630121,83.35509882,83.1868535,82.991858,82.77040633,82.52279299,82.24931267,81.95026015,81.62593028
Niger,NER,Urban population,SP.URB.TOTL,3390359,3537641,3693182,3858240,4033925,4221619,4423826,4643556,4879280,5129642
Niger,NER,"Population, female",SP.POP.TOTL.FE.IN,10185785,10554059,10923757,11297004,11675856,12062154,12460549,12877706,13307084,13742974
Niger,NER,"Population, male",SP.POP.TOTL.MA.IN,10499968,10881387,11264312,11650753,12041757,12439986,12851424,13282161,13725328,14174857
Niger,NER,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,45.881,45.057,44.181,43.366,42.6,41.932,41.95,41.892,..,40.769
Niger,NER,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.156,9.957,9.769,9.573,9.526,9.55,9.173,8.859,..,8.581
Nigeria,NGA,Rural population (% of total population),SP.RUR.TOTL.ZS,43.45896121,42.65136544,41.84466525,41.03888136,40.23403452,39.43014546,38.62723494,37.82532368,37.02443244,36.22458195
Nigeria,NGA,Urban population,SP.URB.TOTL,110505898,114843267,119182819,123515077,127896884,132362871,136953875,141685483,146531222,151484336
Nigeria,NGA,"Population, female",SP.POP.TOTL.FE.IN,96848902,99196111,101480187,103695842,105897424,108111257,110366192,112676013,115005707,117350045
Nigeria,NGA,"Population, male",SP.POP.TOTL.MA.IN,98594798,101058468,103458568,105789799,108098757,110418029,112784704,115206932,117673771,120177737
Nigeria,NGA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,37.771,36.693,35.69,34.685,33.732,33.546,33.192,32.954,..,32.167
Nigeria,NGA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.408,13.192,12.952,12.679,12.586,12.306,11.953,11.74,..,11.558
North America,NAC,Rural population (% of total population),SP.RUR.TOTL.ZS,19.41831006,19.49408407,19.58738633,19.70185722,19.79810101,19.76496066,19.72212399,19.66412583,19.59309024,19.51316007
North America,NAC,Urban population,SP.URB.TOTL,290519227,292411383,294041610,295423957,296482954,297194013,299450931,302829623,306723593,308672816
